run,seed,sample_size,train_size,validation_size,test_size,residual_rmse,sigma_rmse,nll,crps,calibration_error,mean_predicted_sigma,training_seconds,inference_ms_per_sample,best_validation_score,best_restart,epochs_trained
0,2026,100,33,33,34,0.9172025937262832,0.1327097386548009,1.3498459410560435,0.5154707827668866,0.1456448125672758,0.7890462266579172,0.792285167000955,0.0018921761211993,0.2700322721725264,0,17
1,2027,100,33,33,34,0.9522030793107432,0.2031536096036151,1.329085338813084,0.5134332835057523,0.2431343204719428,0.944660938637978,0.1670731249905657,0.0015122358865268,0.2352231246196969,4,7
2,2028,100,33,33,34,0.7033827331864612,0.1884160600342226,1.1147557236193426,0.394993690555121,0.2027022729143388,0.6165657163936229,0.1287939579924568,0.0014607649063691,0.2439598920616722,4,1
3,2029,100,33,33,34,0.8144928816213693,0.2108533488030443,1.2368363320468987,0.4675138259632531,0.1497573213325215,0.6982018993888927,0.138702625001315,0.0012389706064234,0.2978623291973065,3,1
4,2030,100,33,33,34,0.7638612995154871,0.3015439418026668,1.8361085550081044,0.4368001474106092,0.2845319870565106,0.5483936889065505,0.237881125009153,0.0014154416823978,0.2270980706116678,4,15
5,2031,100,33,33,34,1.1404189329300882,0.2181188593467224,1.4090194771448623,0.595435715930368,0.1170910377179139,0.8806190611738457,0.1926398329960648,0.0015110297895529,0.2939998586676973,1,2
6,2032,100,33,33,34,0.6575190693517549,0.2073387470223407,1.000420405582434,0.3671117146215131,0.1019473494007651,0.5907643152931711,0.1343615000077989,0.0014338233193163,0.2618936772761439,2,1
7,2033,100,33,33,34,0.9004120318258428,0.1624311625816533,1.2955600808286862,0.503585005385874,0.1181489816066406,0.8463077693995582,0.1537429169984534,0.001437499817899,0.2657777135030091,1,1
8,2034,100,33,33,34,0.7131813726929361,0.1428994350268989,1.0834053652706253,0.4112503336589174,0.129631979670898,0.6543584697888062,0.1507849580084439,0.0013676472008228,0.2484688255516276,4,1
9,2035,100,33,33,34,0.7739447244012653,0.0694035681268456,1.2056595654021875,0.4493626392901286,0.2042332521949232,0.6888482500549582,0.1506280000030528,0.0014264703221509,0.2533362914262526,2,3
10,2036,100,33,33,34,0.8114220204267125,0.2287654808099777,1.3640922424058477,0.4810155742200589,0.2133022318895775,0.7290932089502684,0.2345551670005079,0.001480382600087,0.255736276867295,3,4
11,2037,100,33,33,34,0.8718795785725403,0.1509759225806211,1.240670597944217,0.4814722543306504,0.1961397617732993,0.9084225307222216,0.1340165830042679,0.0011237939093809,0.2587368868031993,3,2
12,2038,100,33,33,34,0.8152882231882977,0.1662361019409723,1.2189893973010355,0.4602967678771684,0.1413056432431051,0.8544732335633345,0.2747606250050012,0.0014032060896758,0.2389213812116875,3,16
13,2039,100,33,33,34,0.8090348489231227,0.2001510160051593,1.2717986704861135,0.4657144776259616,0.1634775073801245,0.6818823653389035,0.1252537500113248,0.0016078530975124,0.2634405063190757,3,1
14,2040,100,33,33,34,0.9297318324316028,0.1094018202083891,1.3292178977710545,0.5157121774389636,0.1345020515286655,0.8412937269740217,0.2084990000003017,0.0014681179035345,0.2415759132910886,4,7
15,2041,100,33,33,34,0.789047193260826,0.1343578585947588,1.2133322300911755,0.4533992514406733,0.092565739046704,0.7911715281206638,0.1304837909992784,0.0014987650930004,0.2397501846641588,3,3
16,2042,100,33,33,34,0.8416085529091938,0.3442415466267987,1.7377685394606126,0.5058289117281979,0.2398211774132868,0.4962183685703922,0.1502297919942066,0.0013664411038489,0.3275724197408098,1,3
17,2043,100,33,33,34,0.8895084607915051,0.1794486089433674,1.360661500602158,0.4947056626292725,0.1732036539938307,0.7500941294001623,0.4697720420081168,0.0014411763164817,0.226596789579531,4,23
18,2044,100,33,33,34,0.7359687419702751,0.0754860239355151,1.1092972437648754,0.4265050692747037,0.2262789622889823,0.6847010047275364,0.1576946249988395,0.0013652059030445,0.1999028056875726,4,2
19,2045,100,33,33,34,0.7278981226237478,0.0927730371244701,1.025280264560536,0.4064398814037115,0.1288513164494202,0.6325044826907397,0.1479045409942045,0.0011948526234311,0.1937764433566934,4,1
20,2046,100,33,33,34,0.7664210174246849,0.1087414977424116,1.2142865941239482,0.4411963016672205,0.2153763905485787,0.7558491824659997,0.242703124997206,0.0013443530085222,0.2578836509151559,1,10
21,2047,100,33,33,34,0.981077893669318,0.3173238032510359,3.279168108496547,0.6065742007549816,0.3118747019995501,0.529417547826454,0.3740039590047672,0.001648293725927,0.2557232167843831,0,16
22,2048,100,33,33,34,0.7768430179804489,0.1593580193803327,1.161007901494084,0.4389614138360076,0.1632448574705932,0.9114397283774006,0.2424499999906402,0.0013786766965709,0.2401798553122041,1,12
23,2049,100,33,33,34,0.640532359971369,0.2531101416734315,1.01216290292335,0.3740392826381941,0.2290205601964017,0.5784307561409008,0.1215927500161342,0.0012144703171489,0.2689736549263144,2,1
24,2050,100,33,33,34,0.8985290517131416,0.190147003300246,1.4747188851117434,0.5272845070604769,0.1033917565415984,0.784650175617911,0.3891618329798803,0.0014607649063691,0.2108829770334789,1,35
25,2051,100,33,33,34,0.902506036414234,0.1255593352902345,1.2832448490649329,0.4977525762022705,0.2374553881617261,0.819177408789302,0.1724445830041077,0.0015122649903573,0.2664763587679308,2,2
26,2052,100,33,33,34,0.7813081010859712,0.2301741169202487,1.2093421221258072,0.4408390122950205,0.1694060908073675,0.7608222694614503,0.3028688750055153,0.0013370000113568,0.263688081909841,0,14
27,2053,100,33,33,34,0.7188137998655938,0.2151539820526906,1.097400779671564,0.4055967721149102,0.2075859233966956,0.9483075696288352,0.1637504170066677,0.0014950885944178,0.2232161232880427,0,2
28,2054,100,33,33,34,0.899739601958713,0.1175554348363459,1.3345252468202833,0.5112405167873779,0.1827292244336146,0.7298508255410873,0.1481109579908661,0.0011507354964337,0.2674330768731242,1,1
29,2055,100,33,33,34,0.860135951987604,0.1122646343551977,1.1940711654445977,0.4617159057089544,0.2614962235027732,0.6922027626750108,0.1386015840107575,0.0014779413023087,0.2715000951024351,4,2
30,2056,100,33,33,34,0.7443696303260495,0.05881600959722,1.1051721276209747,0.4172513977619461,0.1675644263116188,0.7233445662568292,0.1910507919965312,0.001225499812897,0.21708630911577,3,6
31,2057,100,33,33,34,0.8214568417595206,0.2055431575582923,1.3703697686860743,0.4654088878442967,0.1876539162737866,0.598378715984729,0.1704297919932287,0.0014705883051433,0.2585412866406516,4,1
32,2058,100,33,33,34,0.9258307172521424,0.2657717694217818,1.2344786033624349,0.5043197629839253,0.1127977584597611,0.8704842443201214,0.1575579159834887,0.0014277063789503,0.2840591896478001,0,3
33,2059,100,33,33,34,0.855129506474395,0.1050391253047602,1.2448092251955534,0.4783629575233674,0.1293853572768812,0.7779131258037251,0.1840102080022916,0.0015429113238282,0.2141849508028818,3,2
34,2060,100,33,33,34,0.9391824579654816,0.3138010175973281,1.4411546780120084,0.5332810822369387,0.0844362463411694,0.960895221575612,0.3934171670116484,0.0014460589120383,0.2301139881432095,2,19
35,2061,100,33,33,34,0.8814519063955768,0.1072194242233309,1.441178728588542,0.5169048115366423,0.2201516242224491,0.6511951441143023,0.2344036659924313,0.0013492647079093,0.2337734585719197,3,14
36,2062,100,33,33,34,0.8350578046630385,0.1417664986955337,1.249649267773032,0.4898291590888095,0.3197473980502633,0.7960192280856885,0.1285624169977381,0.0015061172341708,0.2799979703591114,3,1
37,2063,100,33,33,34,0.8273522840152396,0.2818413386711116,1.4458763602183866,0.4856402482498324,0.1392541722263262,0.7031984738294074,0.3323682500049472,0.001534294878023,0.2506175096968328,1,20
38,2064,100,33,33,34,0.7487361932206479,0.0844579066451396,1.1302390620982887,0.425999480103906,0.1912331680352206,0.6610674984242039,0.2254603750188835,0.0014656766057562,0.2792355118931807,1,4
39,2065,100,33,33,34,0.7501352835276028,0.0921708016054473,1.0418849628678966,0.4011399151229283,0.291967212288155,0.7410216849104725,0.2806157500017434,0.0014387358746984,0.2144232423940241,3,22
40,2066,100,33,33,34,0.9353745248921465,0.2290061715149098,1.552394185800737,0.5446603005783639,0.1260228675853953,0.7546213523898936,0.1683388329984154,0.0010527052355053,0.3055736121851611,1,7
41,2067,100,33,33,34,0.8291078168601252,0.2797849689084831,1.4319960888309171,0.4946681359142809,0.2200767289160366,0.5561617270014126,0.1270441249944269,0.0012230294112883,0.278827468561131,1,1
42,2068,100,33,33,34,0.9597499414924238,0.1941994624195199,1.659428333952258,0.5716112253461345,0.2671911233603439,0.6009870759170702,0.1641353750019334,0.001564941211494,0.231045883282782,3,1
43,2069,100,33,33,34,0.8560074245729229,0.1321949722888936,1.347511238665628,0.5041562833857276,0.2530860100276382,0.6664601480710906,0.1262167080130893,0.001509823692579,0.262611524946364,3,1
44,2070,100,33,33,34,0.5718091745625422,0.2398009372165006,0.8581809090232921,0.3261891291944714,0.1045856295478401,0.5631922331248982,0.1239779999887105,0.0014056473874541,0.2556475835331889,2,1
45,2071,100,33,33,34,0.7446849236786456,0.1357293336105842,1.138903356470792,0.4264412830392509,0.0890501125854834,0.6547937061767951,0.1231834999925922,0.0014755000045303,0.274761246062167,0,1
46,2072,100,33,33,34,0.8337753689662343,0.1050568184302498,1.1567981049729037,0.4536915218284501,0.0754618044657013,0.8297022482191698,0.1420338329917285,0.0013210588162217,0.2345306400257202,4,3
47,2073,100,33,33,34,0.9295041386329674,0.1116219111004039,1.440577975781461,0.5255359370011854,0.2313956468559502,0.6928322998939492,0.1423489579756278,0.001406852628433,0.2500989126438483,0,3
48,2074,100,33,33,34,0.9716812564626148,0.2304519704401114,1.659236902124489,0.5499963510862462,0.2452831283354795,0.579586810099779,0.161815250001382,0.0013455882093266,0.2857390223577012,1,4
49,2075,100,33,33,34,0.7738326779811001,0.2215680604303528,1.200652260560966,0.4513349256112431,0.2146555749465882,0.6468154178096165,0.1241631250013597,0.0011605297913774,0.2331455083749721,3,1
50,2076,100,33,33,34,0.7889215317892916,0.1779442245191466,1.1585625144233849,0.4373685394247912,0.1856815276320411,0.8129556240376121,0.1988487919734325,0.0012193529127056,0.2482692834593483,3,6
51,2077,100,33,33,34,0.7755218265366193,0.1519480008897356,1.160830627930104,0.4395151852141858,0.134831334271681,0.9198089343003552,0.1384951660002116,0.0012647060965023,0.2480014495647339,2,2
52,2078,100,33,33,34,0.9730977833164935,0.209399399317584,1.4814327200384376,0.5494715135165594,0.225669663615875,0.8147516237134343,0.1197202919865958,0.0010061476667247,0.231483644068002,0,1
53,2079,100,33,33,34,0.8818150828824687,0.1035887656308672,1.3065446250552657,0.4815446616174145,0.2209618763293914,0.8690987910662998,0.1704265000007581,0.0013492647079093,0.2348416471053694,3,14
54,2080,100,33,33,34,0.828042843010162,0.1157890604194814,1.2328966303244029,0.4692850458963231,0.1134076541427203,0.8305377658719071,0.1378343749966006,0.0013676472008228,0.2169373329409399,2,2
55,2081,100,33,33,34,0.8262202885763649,0.1696145350795111,1.282769877231814,0.4729591018560106,0.1427182925646786,0.6616142724112211,0.1723362919874489,0.0011519706972381,0.2192007926851057,0,9
56,2082,100,33,33,34,0.6640528634229055,0.1245074392943062,1.0038794428464684,0.3718287760414575,0.2056655140933967,0.6824704250012533,0.2014242500008549,0.0011997651788132,0.2038909510552112,0,6
57,2083,100,33,33,34,0.5317142374955844,0.1551173622943908,0.8266531354110198,0.3117625322504981,0.1322894418053321,0.6560148541118439,0.1306043330114334,0.001406852628433,0.2143644654239008,2,1
58,2084,100,33,33,34,0.9250102502450273,0.0737300416540859,1.3729165144145556,0.5398366321673103,0.1897770793140359,0.7198054245393162,0.1576636249956209,0.0009595584261285,0.224932336805933,3,2
59,2085,100,33,33,34,0.731689953861055,0.0931589347898115,1.092443287894841,0.416477467515969,0.2415876073775567,0.7254063194712207,0.1235610829899087,0.0011274413041332,0.2417947474584148,1,1
60,2086,100,33,33,34,0.6933914690692399,0.1991623535844403,1.581644450381228,0.4013734850575898,0.1473066926290288,0.7487394853402013,0.389553542016074,0.0012475588043932,0.2439219093302974,4,37
61,2087,100,33,33,34,0.6283067496366987,0.1540486696305374,1.004620358631146,0.3657081730159304,0.17361832455054,0.5413947991962451,0.1536051250004675,0.0013443530085222,0.2358957649454579,1,5
62,2088,100,33,33,34,1.0789656272249823,0.2529127577845543,2.145134677872658,0.6308378259101142,0.3112384689602765,0.5883630678921368,0.1358702089928556,0.0014105590868412,0.2533297169750093,3,1
63,2089,100,33,33,34,0.7628119922945304,0.1561089275673705,1.1868695779806366,0.4388988817308852,0.2243702101316635,0.6600384644006035,0.1331657920090947,0.0013982644304633,0.277133426576131,2,1
64,2090,100,33,33,34,0.9823456716437076,0.162700151387728,1.4776677116552346,0.5550709001595989,0.2445678851223528,0.7590864780782126,0.121323792001931,0.0009877651738112,0.2900405910839114,1,1
65,2091,100,33,33,34,0.77688736097688,0.1082597671554416,1.234709911628226,0.4534234711559718,0.1702659851654261,0.6861945868673596,0.1312545829860028,0.0010171763064778,0.2341798644836673,1,2
66,2092,100,33,33,34,0.8730926839721788,0.3319968438721049,2.080185033996624,0.5284945229115463,0.3351568694630272,0.4462384618316895,0.1217424580245278,0.0009619997239069,0.2689767948363331,1,1
67,2093,100,33,33,34,0.853982511940756,0.1875181923936302,1.396610496722799,0.4727335816671234,0.1968035610467644,0.5768699431719573,0.1558121249836404,0.0010870006757185,0.2953223722959778,1,4
68,2094,100,33,33,34,0.7949741100817171,0.0281504773111304,1.144385606589786,0.4500859509358899,0.2901489960649331,0.7970126472909533,0.1476101250154897,0.0010294118991998,0.3162554719308402,3,1
69,2095,100,33,33,34,0.7312019401598674,0.2022144297761315,1.142963195052974,0.4202268036009744,0.2618724339447014,0.6667589276141203,0.1494695829751435,0.0013272057164131,0.298718648734972,4,8
70,2096,100,33,33,34,0.7602903351421529,0.1268306114974842,1.1265679235159278,0.4083327114715046,0.1336646951626496,0.7747017163643368,0.1244989580009132,0.0010134707040646,0.23662682527477,1,1
71,2097,100,33,33,34,0.7156216253838914,0.0929488684893419,1.0993312413939609,0.4119251895250447,0.1303609580470696,0.687429744726731,0.135340292006731,0.0009865291170118,0.2022762554756819,3,2
72,2098,100,33,33,34,1.0378242285187136,0.0580107514396015,1.4723894475297734,0.5855224982600797,0.2523085952615327,0.7846174101152894,0.12017358301091,0.0009681466240983,0.2595503470988048,2,1
73,2099,100,33,33,34,0.7490647070506122,0.1182180672174292,1.1315157313055384,0.4293459275347321,0.1308665723721446,0.6555482833421262,0.1795602079946547,0.0011654406347695,0.2830154320112056,0,5
74,2100,100,33,33,34,0.7228023520722925,0.1549918327291144,1.08772514083096,0.3992748330537865,0.1733854466003713,0.851315281178368,0.1229387909988872,0.0009852947722024,0.2513670879794273,2,1
75,2101,100,33,33,34,1.0628870693188537,0.0857954995261426,1.724328605253847,0.639222310803191,0.183363267140306,0.7546539034628138,0.1422282920102588,0.0009497649871799,0.2474118337070021,0,4
76,2102,100,33,33,34,0.7289203242002016,0.1336515436902773,1.093733690372007,0.4132671777813095,0.1451045546243815,0.7294650879546088,0.1513444170122966,0.0013762353987926,0.2362241346008531,4,5
77,2103,100,33,33,34,1.0859994765014107,0.2641881478145973,2.6361534155199657,0.6896380050746874,0.4625925774338936,0.5603117156731671,0.1927982500055804,0.0016397055279573,0.2505004526188177,3,7
78,2104,100,33,33,34,0.8607805057180989,0.2153735678555372,1.4420741240205364,0.5043035993476404,0.1380065909338552,0.6231960289499554,0.1196362909977324,0.0010943528168889,0.3113158107020718,2,1
79,2105,100,33,33,34,0.9153246503899424,0.092095509813831,1.326687490693501,0.508487725978271,0.1558433831281584,0.744010166249717,0.1593737500079441,0.0011850591844824,0.2429538260012314,2,4
80,2106,100,33,33,34,0.859708823372254,0.2137356085050175,1.4814389906613614,0.5066672213232626,0.2867578313717444,0.5926162598571997,0.1529581659997347,0.0018406760372111,0.3486252017345271,0,1
81,2107,100,33,33,34,1.0437027713108613,0.1021105789425022,1.652503226646697,0.5953577601841692,0.2633586518498187,0.6508062101585081,0.1368233750108629,0.0014227946795632,0.2423560606574509,2,5
82,2108,100,33,33,34,0.8556054488024682,0.2891947921110406,1.2951207189121603,0.486156192423147,0.2434650496104941,1.075997254474116,0.1242749580123927,0.0014239999205421,0.2883057656454082,4,1
83,2109,100,33,33,34,0.6912020510719685,0.1862723557093616,1.0547898953410142,0.3933479384413095,0.1401226317441112,0.6928294884474191,0.1224002499948255,0.0015392057214151,0.2525302212427216,1,1
84,2110,100,33,33,34,0.8283145937957561,0.1425774625737469,1.235642183539081,0.4645529500117913,0.1230341237417083,0.7996688000111638,0.1160594590182881,0.0012512353029759,0.2767275825070768,0,1
85,2111,100,33,33,34,1.1399210792878072,0.0402960134386299,1.700030915975942,0.6501600252183181,0.1487367549327065,0.7766993036205158,0.1258948750037234,0.0011347943012986,0.2108852967206642,1,1
86,2112,100,33,33,34,1.1044110274567704,0.0731558812881107,1.545445873931135,0.6084596689016872,0.14717147300903,0.7426673832202283,0.1833507920091506,0.0014448528150644,0.2513398069247226,0,6
87,2113,100,33,33,34,1.0357888814520009,0.3393365345111241,1.5864726819611483,0.5753367082513217,0.1486334832276353,0.9574718939292348,0.2908120830252301,0.0013431178077178,0.2888506849905918,2,15
88,2114,100,33,33,34,0.7503138149483055,0.1702339690288834,1.1948896612119804,0.4362788327857856,0.1055062604340911,0.6956965896650723,0.1931775829871185,0.0012610295979196,0.2712982309994109,2,13
89,2115,100,33,33,34,0.863934325158124,0.2350585168284842,1.5661643279880066,0.5075901651146194,0.2182309367358459,0.5449377303281139,0.162211707996903,0.0010343235985868,0.2586581322571664,3,4
90,2116,100,33,33,34,0.7225277492240659,0.1842545702099108,1.1022661619218157,0.407261685262671,0.1392739096664008,0.6241364667858766,0.2949076249788049,0.0014240007765372,0.2510935460896111,2,15
91,2117,100,33,33,34,0.8582736174151508,0.2645474903637403,1.2576625868984508,0.4875487006473651,0.1617863835645056,0.7984346048455989,0.1788471250038128,0.0013799118973753,0.2656760797487216,0,9
92,2118,100,33,33,34,0.7379219840156782,0.1752369649841942,1.146064799146366,0.4108290872927355,0.1272867649844449,0.6438866333015083,0.1198146249807905,0.001389706192319,0.2969596547396612,4,1
93,2119,100,33,33,34,0.8670713719450354,0.1263512788460685,1.2652400746641883,0.483715794056926,0.1019756769663762,0.7976939459478983,0.2336309590027667,0.0016384703271529,0.2929722499739458,3,6
94,2120,100,33,33,34,0.7345240391763748,0.1540707874859401,1.1778332145725232,0.4172725473237622,0.1672164482344934,0.7900232157273468,0.2083955830021295,0.0014178829801761,0.2285510494954446,0,5
95,2121,100,33,33,34,0.8660128984072216,0.2583091717057612,1.7172991579081296,0.4872318649282306,0.1923405479692418,0.5290109475233011,0.1427705830137711,0.0013480295071049,0.3526653375727975,1,1
96,2122,100,33,33,34,0.8858085275605299,0.1431852320647019,1.3636344519725043,0.5040470579950357,0.2663309771272363,0.6968984035914847,0.1506670420058071,0.0013725289403844,0.2470448149927172,0,1
97,2123,100,33,33,34,1.3271866983398626,0.1736640302673729,2.457394921105006,0.7956866007472343,0.2209454148852104,0.6312517168518593,0.1711213329981546,0.0012524413999498,0.2848112617467312,2,4
98,2124,100,33,33,34,0.8311308576854418,0.2145496321417573,1.294783809700824,0.4861492717904482,0.3012312959262443,0.7145266656664606,0.117886666994309,0.0013835883959579,0.255218388676622,0,1
99,2125,100,33,33,34,0.7639308860228615,0.2379348777080288,1.1752709438643103,0.4372552147520037,0.1357425748514767,0.910640127435336,0.1202735409897286,0.0013345587135785,0.260194389369858,4,1
