run,seed,train_size,validation_size,test_size,polynomial_order,mean_rmse,sigma_rmse,nll,crps,calibration_error,mean_predicted_sigma
0,2026,33,33,34,2,0.9172025937262833,0.10910048133428478,1.3502704778570789,0.5145344174555727,0.16166176213476313,0.764401072877326
1,2027,33,33,34,2,0.9522030793107433,0.21124858870004767,1.3261646139716072,0.5132698007213183,0.24718363280507283,0.9514010958906873
2,2028,33,33,34,2,0.7033827331864612,0.19197542804724566,1.2360439501071288,0.4002367286113004,0.20262831440439288,0.5153866251823157
3,2029,33,33,34,2,0.8144928816213693,0.0909475449415228,1.4430836544636523,0.4706687124085781,0.1663945332280261,0.6749556090921496
4,2030,33,33,34,2,0.7638612995154871,0.28269981688456597,1.4190998020111045,0.42883679784163414,0.29203886874808377,0.5125936381618901
5,2031,33,33,34,2,1.1404189329300882,0.27253367828704367,1.5638562372017153,0.604730025124456,0.15711864375236018,0.7756726506135501
6,2032,33,33,34,2,0.6575190693517549,0.26493848979788703,1.223457068255626,0.37357666612919166,0.08796681903287723,0.6237978937598928
7,2033,33,33,34,2,0.9004120318258428,0.18722948978403708,1.2967851731674749,0.5041525991898035,0.12039708251964498,0.8582785305751723
8,2034,33,33,34,2,0.7131813726929361,0.11401096809558714,1.071541662771222,0.4092240372686544,0.1304697455539483,0.6612608011166959
9,2035,33,33,34,2,0.7739447244012653,0.12618862397736139,1.292079914588227,0.456520019959081,0.21199443196466305,0.6593411231065484
10,2036,33,33,34,2,0.8114220204267125,0.2056167234112061,1.3359254355757733,0.4765560895740381,0.2250933237991296,0.6538218780422025
11,2037,33,33,34,2,0.8718795785725403,0.36833238579234723,1.2940926087171423,0.4810830329645197,0.26025150218527693,0.8248591266015057
12,2038,33,33,34,2,0.8152882231882977,0.20454607443965156,1.2347287503470834,0.4634211719033256,0.16906455496968587,0.9207472135997927
13,2039,33,33,34,2,0.8090348489231227,0.2651309333181739,2.4402497825723737,0.473494566680277,0.2528607011480136,0.5426245088810857
14,2040,33,33,34,2,0.9297318324316028,0.1164158494399023,1.3267422891545193,0.5147992413820023,0.13353635552200338,0.8296455646415758
15,2041,33,33,34,2,0.789047193260826,0.2763586325840477,1.2852464771083496,0.46061355275215554,0.07413441738867643,0.8433530357238456
16,2042,33,33,34,2,0.8416085529091938,0.36913752869072647,2.040811214282668,0.5123075724214683,0.2848321957546529,0.46296366274883316
17,2043,33,33,34,2,0.8895084607915051,0.18462186626037178,1.403412611944778,0.4969018392830447,0.1839972801566231,0.7410112214473485
18,2044,33,33,34,2,0.7359687419702751,0.0732991154706598,1.0737397717303583,0.42233722371711124,0.22238843189555269,0.692927229018156
19,2045,33,33,34,2,0.7278981226237478,0.18219244503473625,1.081679379320624,0.41031062068455354,0.13492800242569825,0.5906645231927312
20,2046,33,33,34,2,0.7664210174246849,0.0701058751081297,1.1763112553238486,0.4371454948461353,0.2190399357999463,0.744724196590006
21,2047,33,33,34,2,0.9810778936693181,0.2793870407175189,1.9323546904863433,0.5829071123038142,0.3132026034015086,0.5060791319459692
22,2048,33,33,34,2,0.7768430179804489,0.13962633815330908,1.16429888955515,0.43771570540906085,0.17277275835113448,0.9068990868635377
23,2049,33,33,34,2,0.640532359971369,0.20924509572347108,1.0075592293835813,0.37231004434615983,0.25136440981772334,0.5797770006392221
24,2050,33,33,34,2,0.8985290517131416,0.15083132258637133,1.5814046001698765,0.5264228701168363,0.11559349701840538,0.7927315300331244
25,2051,33,33,34,2,0.902506036414234,0.09771962599702591,1.2534835180112278,0.49441746842000556,0.24601337813191976,0.7925079162836897
26,2052,33,33,34,2,0.7813081010859712,0.056615884338702606,1.165846524955594,0.4354220214705832,0.1846367522298754,0.7231867174268309
27,2053,33,33,34,2,0.7188137998655938,0.2508090083307957,1.1129449075006168,0.40957020131274224,0.2091529692377101,0.9619193985451235
28,2054,33,33,34,2,0.899739601958713,0.30816038884344826,1.731708014292335,0.522894249203962,0.18910503898072306,0.6961153199830141
29,2055,33,33,34,2,0.860135951987604,0.16058984193701734,1.6726816321711244,0.4793065258593833,0.26583324060154223,0.67206002450173
30,2056,33,33,34,2,0.7443696303260495,0.06681693641583955,1.108260771135673,0.4175591666689604,0.1680629896793976,0.7083359796329569
31,2057,33,33,34,2,0.8214568417595206,0.22606109115755776,1.4488876259541223,0.466343289524784,0.18097833859108708,0.5820500022732401
32,2058,33,33,34,2,0.9258307172521423,0.5064200433554406,1.2833384607488691,0.5109931975753869,0.10065495210834663,0.9871152562077257
33,2059,33,33,34,2,0.855129506474395,0.08431010158091451,1.1813340005833388,0.4703136162883981,0.11235579509838295,0.812826595614232
34,2060,33,33,34,2,0.9391824579654815,0.17831039521949885,1.3151874090091473,0.5266653705729633,0.08100718715305943,0.9589939754193886
35,2061,33,33,34,2,0.8814519063955768,0.11499606640419711,1.4054191624374075,0.5157563824506591,0.21550738989942786,0.6390805975149391
36,2062,33,33,34,2,0.8350578046630385,0.01891422370955391,1.387956178978166,0.5024631094764392,0.3476754780519409,0.7147813746059438
37,2063,33,33,34,2,0.8273522840152396,0.14204104029347295,1.2380991231290475,0.47686119099007246,0.13391015198127887,0.6636293248756895
38,2064,33,33,34,2,0.7487361932206479,0.11879561682034441,1.1784411598250357,0.4312963142897674,0.19122732983851898,0.6511802698893012
39,2065,33,33,34,2,0.7501352835276028,0.03509762352139618,1.0513734267691155,0.401658004249583,0.2804459097489235,0.7408239721069426
40,2066,33,33,34,2,0.9353745248921465,0.17106999275361545,1.605155130859139,0.5547314922836103,0.15445961732655888,0.6603825154355495
41,2067,33,33,34,2,0.8291078168601252,0.25696838326254373,3.4872476639352885,0.5062981172417065,0.21269067052765214,0.5069430422871634
42,2068,33,33,34,2,0.9597499414924238,0.22708749958151617,1.933385852657761,0.5776389250696403,0.2718735924241861,0.5895310133844268
43,2069,33,33,34,2,0.8560074245729229,0.09627444827909924,1.6675870472741952,0.5209147636696666,0.25495029338889785,0.6161106021027671
44,2070,33,33,34,2,0.5718091745625422,0.286987235139677,0.8877425573237723,0.32979490031287545,0.12785234607687046,0.5469643299730507
45,2071,33,33,34,2,0.7446849236786456,0.18758019951996113,1.1621862848916413,0.4271849680049377,0.09882849792004872,0.6253415570345794
46,2072,33,33,34,2,0.8337753689662343,0.11098559846476576,1.1629652337130092,0.4543358620248619,0.08512478825787173,0.8421391770327943
47,2073,33,33,34,2,0.9295041386329674,0.1253432184636884,1.537554259271597,0.5290794285877969,0.2323840762816698,0.678405242280677
48,2074,33,33,34,2,0.9716812564626147,0.2770724732020621,1.8929128558963004,0.5513257051755827,0.2485997554261552,0.5927571345791539
49,2075,33,33,34,2,0.7738326779811001,0.132826385271784,1.2758404271649644,0.4600814834669272,0.20347115474400745,0.6487564260363131
50,2076,33,33,34,2,0.7889215317892916,0.17958466622660577,1.1645244629653744,0.4373958512827562,0.18756520874814775,0.7931417729711427
51,2077,33,33,34,2,0.7755218265366193,0.1871388905799376,1.1756037251278888,0.4438487650892677,0.11587897528797131,0.8938211455514521
52,2078,33,33,34,2,0.9730977833164935,0.09163055792114493,1.3577438077272455,0.5383069160634145,0.2323723586171743,0.8388298442497498
53,2079,33,33,34,2,0.8818150828824687,0.1319490691757149,1.2981549702943094,0.4824517108468907,0.2226403549888022,0.9033278139136883
54,2080,33,33,34,2,0.828042843010162,0.26825443576817953,1.3375803695069008,0.4852620094919966,0.12128081177519115,0.8808793891096759
55,2081,33,33,34,2,0.8262202885763649,0.1291677979749717,1.2146351863353992,0.4695899249707693,0.1284836619100702,0.6588205716423703
56,2082,33,33,34,2,0.6640528634229055,0.1223901935116139,0.9993632745570473,0.3706267615963223,0.2069317322055321,0.6890385119080125
57,2083,33,33,34,2,0.5317142374955844,0.2722995856477753,0.9957496520772127,0.3429976409552557,0.14055061161169763,0.659827479093154
58,2084,33,33,34,2,0.9250102502450271,0.19694389370002574,1.6516982069447759,0.5546045285983062,0.19149559663498572,0.6100786192858467
59,2085,33,33,34,2,0.731689953861055,0.15044962631292363,1.18367279449421,0.42739073532843824,0.28844117406939,0.5679359912922444
60,2086,33,33,34,2,0.6933914690692399,0.07963096352693301,1.1166946194799572,0.3988212698898076,0.1190433738192378,0.7325328606116503
61,2087,33,33,34,2,0.6283067496366987,0.18139192928947093,1.1831596913236024,0.3652460731628053,0.20577902475979593,0.5264111295908478
62,2088,33,33,34,2,1.0789656272249823,0.33403826739664116,26.525054105576586,0.6632193898272499,0.3180828146040864,0.49601225849777464
63,2089,33,33,34,2,0.7628119922945304,0.15452361975986043,1.208327106776407,0.44122032432923125,0.23639533706222288,0.5848602170524838
64,2090,33,33,34,2,0.9823456716437075,0.18322547581097462,1.9279942599475972,0.5790857030075477,0.24711577420525777,0.6896555228000038
65,2091,33,33,34,2,0.77688736097688,0.09978367967477589,1.2445974464625085,0.4537889278523569,0.1616736087432234,0.693636078740152
66,2092,33,33,34,2,0.8730926839721788,0.3647030384895735,3.5096049059527337,0.549837266430907,0.3464167795652179,0.38865120109764995
67,2093,33,33,34,2,0.853982511940756,0.1985183115534067,1.3265382248101232,0.46921187200635933,0.22049433157098852,0.5637661800583209
68,2094,33,33,34,2,0.7949741100817171,0.07761282364673862,1.112819503739729,0.4480423435403232,0.305005682861831,0.7654825024255641
69,2095,33,33,34,2,0.7312019401598674,0.2598123672137294,1.2409767678613146,0.4293280786538925,0.2663071893571713,0.6389831653817628
70,2096,33,33,34,2,0.7602903351421529,0.28197182812028826,1.388409744424723,0.42278223303271883,0.13728155704834533,0.7661194325156243
71,2097,33,33,34,2,0.7156216253838914,0.15226916929737316,2.137788241101926,0.4238650664282139,0.10625278863784654,0.6805210571418909
72,2098,33,33,34,2,1.0378242285187136,0.035744941374573284,1.4846762545694405,0.5848674035942776,0.279626566944149,0.7265684635262301
73,2099,33,33,34,2,0.7490647070506122,0.14291877642986575,1.1463797134856786,0.4308690736281047,0.13514619447296417,0.6473168956081502
74,2100,33,33,34,2,0.7228023520722925,0.22684282541854547,1.057386871005828,0.3964523603708625,0.1951802279981315,0.9018198917944642
75,2101,33,33,34,2,1.0628870693188537,0.17519427907112567,2.5279316592349828,0.6619049450828371,0.1853097208934263,0.6784141626762543
76,2102,33,33,34,2,0.7289203242002016,0.15951608470763023,1.138145909999426,0.4155004647720779,0.1414435206414597,0.700114320244566
77,2103,33,33,34,2,1.0859994765014107,0.15118381550142113,2.570282070320572,0.6881574631940154,0.4527146984549191,0.5893852123756388
78,2104,33,33,34,2,0.8607805057180989,0.20700677377072538,1.434786368927409,0.4924492890563795,0.21102362746116676,0.5452094121594122
79,2105,33,33,34,2,0.9153246503899423,0.25595678580821035,2.2267096801412056,0.5303401814641399,0.18358050193242176,0.6700496634503177
80,2106,33,33,34,2,0.859708823372254,0.20447089272446647,1.586180588217317,0.510025538154656,0.3029033856720036,0.5721005232718868
81,2107,33,33,34,2,1.0437027713108613,0.13033037286783986,1.6125168067424356,0.5914878461771996,0.2500242443057946,0.7057553500274097
82,2108,33,33,34,2,0.8556054488024682,0.37368425861716587,1.2802585485578546,0.48719458263723137,0.2361164990854856,1.0753628597019198
83,2109,33,33,34,2,0.6912020510719685,0.08364338779683453,1.0433168448039591,0.3918198743484112,0.1331808930242494,0.72291627491372
84,2110,33,33,34,2,0.8283145937957561,0.0685978817423574,1.1577693596643757,0.4562706087908608,0.09849457602319489,0.8332187216956163
85,2111,33,33,34,2,1.1399210792878072,0.1496982478521314,1.9133867713788884,0.6549741617774988,0.19187929683892396,0.8300812878249642
86,2112,33,33,34,2,1.1044110274567704,0.09476895027576553,1.656852997132302,0.6131982258883386,0.1402038813435006,0.7319354287212292
87,2113,33,33,34,2,1.0357888814520009,0.3708188331812996,1.6448678410460378,0.5771562591921653,0.14927983671585998,0.9575185610983624
88,2114,33,33,34,2,0.7503138149483055,0.14310653150751032,1.140890320877261,0.4303990020852934,0.10815334663085041,0.6921476105935133
89,2115,33,33,34,2,0.863934325158124,0.26039027818148736,1.4919260739962708,0.5078175022478904,0.25002694244622287,0.5293293191234225
90,2116,33,33,34,2,0.7225277492240659,0.17543875355159785,1.100163727775225,0.40831408114808976,0.13114290751434093,0.6363032905218775
91,2117,33,33,34,2,0.8582736174151508,0.24449268640502225,1.2592533195041378,0.48737947081291955,0.17572365607847729,0.7706802471834973
92,2118,33,33,34,2,0.7379219840156782,0.14525687575574067,1.083547327259589,0.40543062732806634,0.14773497345650488,0.5947139571059347
93,2119,33,33,34,2,0.8670713719450354,0.13419991125388445,1.2681297954888875,0.4842233153302167,0.10204643003732172,0.7935934021193232
94,2120,33,33,34,2,0.7345240391763748,0.15584404966815354,1.1913419384975608,0.41750775323109257,0.16921966164133695,0.7769655076751356
95,2121,33,33,34,2,0.8660128984072216,0.28712242157073536,2.17342423694331,0.49302228321612596,0.20146175113370313,0.49654581071153187
96,2122,33,33,34,2,0.8858085275605299,0.13179057276179115,1.579116702811404,0.5131067901651709,0.2944256930711872,0.6453137416077023
97,2123,33,33,34,2,1.3271866983398626,0.1809000862938652,2.496166536339868,0.797221785755533,0.22091013977923013,0.6232028473235628
98,2124,33,33,34,2,0.8311308576854418,0.17749374425334216,1.8817367547911428,0.49329305873574353,0.2741878033204664,0.7765601718413008
99,2125,33,33,34,2,0.7639308860228615,0.1833465223476865,1.8707011360306613,0.4492474899964692,0.1539593602046534,0.7256006527316203
